"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Monetary Aggregates"

"DESCRIPTION"
"Monetary Aggregates"

"LINK"
"https://www.bankofcanada.ca/?p=47527"

"SERIES"
"id","label","description"
"STATIC_ATABLE_V37151","M1+ (gross)","M1+ (gross)"
"STATIC_ATABLE_V37152","M1++ (gross)","M1++ (gross)"
"STATIC_ATABLE_V41552801","M2++ (gross)","M2++ (gross)"

"OBSERVATIONS"
"date","STATIC_ATABLE_V37151","STATIC_ATABLE_V37152","STATIC_ATABLE_V41552801"
"1996-01-01","2.3","","4.8"
"1996-02-01","4.3","","5.8"
"1996-03-01","6.3","","6.5"
"1996-04-01","6.4","","6.6"
"1996-05-01","9.1","","7.0"
"1996-06-01","9.6","","6.9"
"1996-07-01","9.0","","6.5"
"1996-08-01","9.2","","6.5"
"1996-09-01","8.9","","6.5"
"1996-10-01","9.9","","6.9"
"1996-11-01","11.1","","7.4"
"1996-12-01","12.0","","7.4"
"1997-01-01","12.5","","7.7"
"1997-02-01","12.5","","7.7"
"1997-03-01","11.2","","7.6"
"1997-04-01","11.9","","7.8"
"1997-05-01","11.1","","7.5"
"1997-06-01","10.7","","7.2"
"1997-07-01","11.1","","7.2"
"1997-08-01","11.6","","7.1"
"1997-09-01","11.0","","6.9"
"1997-10-01","10.2","","6.8"
"1997-11-01","10.4","","6.4"
"1997-12-01","9.9","","6.3"
"1998-01-01","10.1","","6.1"
"1998-02-01","8.4","","5.5"
"1998-03-01","8.1","","5.3"
"1998-04-01","7.1","","5.2"
"1998-05-01","7.1","","5.3"
"1998-06-01","6.1","","5.2"
"1998-07-01","6.6","","5.7"
"1998-08-01","6.1","","5.8"
"1998-09-01","6.5","","5.9"
"1998-10-01","6.0","","5.9"
"1998-11-01","4.3","","5.8"
"1998-12-01","3.7","","5.7"
"1999-01-01","4.0","","6.0"
"1999-02-01","4.7","","6.1"
"1999-03-01","4.5","","6.1"
"1999-04-01","5.6","","6.1"
"1999-05-01","5.8","","6.0"
"1999-06-01","5.6","","6.0"
"1999-07-01","5.5","","5.9"
"1999-08-01","5.9","","5.9"
"1999-09-01","5.6","","5.8"
"1999-10-01","5.8","","5.9"
"1999-11-01","6.5","","5.9"
"1999-12-01","7.5","","6.0"
"2000-01-01","6.9","6.2","5.8"
"2000-02-01","8.8","7.6","6.3"
"2000-03-01","10.2","9.1","6.8"
"2000-04-01","10.8","9.3","7.0"
"2000-05-01","9.6","8.2","6.8"
"2000-06-01","10.8","9.2","7.1"
"2000-07-01","10.8","9.2","7.2"
"2000-08-01","10.2","8.5","7.1"
"2000-09-01","11.2","9.3","7.3"
"2000-10-01","11.7","9.6","7.3"
"2000-11-01","11.5","9.6","7.3"
"2000-12-01","12.1","10.4","7.8"
"2001-01-01","11.3","9.4","7.8"
"2001-02-01","10.1","8.5","7.9"
"2001-03-01","9.3","7.6","7.6"
"2001-04-01","8.3","7.0","7.1"
"2001-05-01","10.4","8.8","7.4"
"2001-06-01","8.8","7.9","6.9"
"2001-07-01","8.9","8.5","6.9"
"2001-08-01","8.9","8.9","6.8"
"2001-09-01","10.3","10.7","7.3"
"2001-10-01","9.9","11.2","7.6"
"2001-11-01","11.3","13.1","8.0"
"2001-12-01","11.6","13.2","7.7"
"2002-01-01","12.7","15.4","7.6"
"2002-02-01","11.8","15.5","7.4"
"2002-03-01","11.5","15.5","7.1"
"2002-04-01","11.1","15.6","6.9"
"2002-05-01","9.3","14.0","6.4"
"2002-06-01","10.6","15.1","6.7"
"2002-07-01","10.3","14.7","6.5"
